UID        PID  PPID  C STIME TTY          TIME CMD
shashi    2196  2023  0 20:11 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx2023x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/2023/3
shashi    2203  2194  0 20:11 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx2194x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/2194/2
shashi    2235  1491  0 20:11 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
shashi    2269  1880  0 20:12 ?        00:00:00 zeitgeist-datahub
shashi    2276  1491  0 20:12 ?        00:00:00 /bin/sh -c /usr/lib/x86_64-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
shashi    2280  2276  0 20:12 ?        00:00:00 /usr/bin/zeitgeist-daemon
shashi    2288  1491  0 20:12 ?        00:00:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
shashi    2309  1491  0 20:12 ?        00:00:00 /usr/lib/gvfs/gvfsd-network --spawner :1.4 /org/gtk/gvfs/exec_spaw/1
shashi    2340  1491  0 20:12 ?        00:00:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.4 /org/gtk/gvfs/exec_spaw/5
shashi    2388  1880  0 20:12 ?        00:00:00 update-notifier
shashi    2855  1880  0 20:13 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
root      2969     2  0 20:16 ?        00:00:00 [kworker/1:0]
root      2972     1  0 20:16 ?        00:00:00 /usr/sbin/cupsd -l
root      2973     1  0 20:16 ?        00:00:00 /usr/sbin/cups-browsed
lp        2974  2972  0 20:16 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp        2975  2972  0 20:16 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root      3079     2  0 20:26 ?        00:00:00 [kworker/3:0]
root      3080     2  0 20:26 ?        00:00:00 [kworker/0:1]
shashi    3131  1491  0 20:37 ?        00:00:10 /usr/lib/gnome-terminal/gnome-terminal-server
shashi    3138  3131  0 20:37 pts/4    00:00:00 bash
shashi    3190  3131  0 20:40 pts/7    00:00:00 bash
root      3324     2  0 21:03 ?        00:00:01 [kworker/u16:1]
root      3335     2  0 21:08 ?        00:00:02 [kworker/u16:0]
root      3349     2  0 21:10 ?        00:00:00 [kworker/2:0]
shashi    3398  3190  0 21:13 pts/7    00:00:00 man getuid
shashi    3410  3398  0 21:13 pts/7    00:00:00 pager
root      3532     2  0 21:47 ?        00:00:00 [kworker/u16:2]
root      3596     2  0 21:59 ?        00:00:00 [kworker/0:2]
shashi    3626  3138  0 22:03 pts/4    00:00:00 ps -ef
